Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
Single,1st phase—general contingent,2,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,Yes,19,No,0,6,9,5,13.2,0,0,6,8,5,11,0,12.4,0.5,1.79,Graduate
Single,Change in institution/course,1,Communication Design,Daytime,Secondary education,Portuguese,Higher Education—doctorate,Secondary Education—12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,1,0,No,Yes,Female,No,21,No,0,6,7,5,12.2,0,0,6,7,4,12.6,0,8.9,1.4,3.51,Enrolled
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Administrative staff,1,0,No,Yes,Female,Yes,19,No,0,7,7,7,13.42857143,0,0,7,7,7,14.85714286,0,11.1,0.6,2.02,Graduate
Single,1st phase—general contingent,2,Communication Design,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,1,0,No,Yes,Female,Yes,18,No,1,6,8,6,12.71428571,1,0,6,8,6,12.625,0,13.9,-0.3,0.79,Graduate
Single,2nd phase—general contingent,2,Equiniculture,Daytime,Secondary education,Portuguese,Higher Education—degree,Secondary Education—12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,0,No,Yes,Female,No,19,No,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Other—11th Year of Schooling,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",0,0,No,Yes,Female,Yes,19,No,0,6,6,6,13.66666667,0,0,6,9,6,13.66666667,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Specialists in the physical sciences, mathematics, engineering, and related techniques",Directors of administrative and commercial services,0,0,Yes,Yes,Female,No,20,No,0,6,6,5,11,0,0,6,6,6,13.16666667,0,16.2,0.3,-0.92,Graduate
Single,2nd phase—general contingent,2,Basic Education,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,Student,1,0,No,Yes,Female,No,18,No,0,7,11,5,11.4,0,0,7,9,6,13.33333333,0,13.9,-0.3,0.79,Enrolled
Single,Change in course,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",0,0,No,Yes,Female,No,18,No,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Enrolled
Single,2nd phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",0,0,No,Yes,Female,No,18,No,0,5,7,4,12,0,0,5,6,5,12,0,7.6,2.6,0.32,Graduate
Single,2nd phase—general contingent,3,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,0,0,No,Yes,Female,No,18,No,0,6,6,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,Dropout
Single,2nd phase—general contingent,3,Social Service,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Student,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,No,18,No,0,6,14,5,11,0,0,6,6,6,11.66666667,0,7.6,2.6,0.32,Graduate
Single,3rd phase—general contingent,4,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,Administrative staff,1,0,No,Yes,Female,No,20,No,0,6,12,5,12,0,0,6,8,6,11.57142857,0,15.5,2.8,-4.06,Dropout
Single,2nd phase—general contingent,3,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,Yes,19,No,0,7,7,7,13.30857143,0,0,8,10,8,12.55,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,Yes,No,Female,No,21,No,0,6,8,3,13.66666667,0,0,6,7,3,10.66666667,0,15.5,2.8,-4.06,Dropout
Single,2nd phase—general contingent,1,Advertising and Marketing Management,Daytime,Higher education—degree,Portuguese,Other—11th Year of Schooling,Higher Education—degree,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,1,0,Yes,No,Female,No,20,No,0,6,6,0,0,0,0,6,9,0,0,0,10.8,1.4,1.74,Dropout
Single,1st phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,No,18,No,0,6,10,5,12.2,0,0,6,8,4,11.25,0,9.4,-0.8,-3.12,Graduate
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—master’s degree,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions,0,0,No,Yes,Female,Yes,20,No,0,6,7,6,12.66666667,0,0,6,6,6,12.83333333,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,1,0,No,Yes,Female,Yes,19,No,0,8,8,8,14.07125,0,0,8,8,8,14.07125,0,9.4,-0.8,-3.12,Graduate
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Frequency of higher education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,No,22,No,0,5,14,4,14.25,3,0,5,9,5,13.2,4,9.4,-0.8,-3.12,Dropout
Single,2nd phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,1,0,No,No,Female,No,22,No,0,6,0,0,0,0,0,2,2,0,0,2,9.4,-0.8,-3.12,Dropout
Single,1st phase—general contingent,2,Basic Education,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Personal Services, Security and Safety Workers, and Sellers",1,0,No,Yes,Female,No,18,No,0,6,10,3,12,0,0,6,8,4,10.25,0,10.8,1.4,1.74,Enrolled
Single,Change in course,1,Management,Daytime,Secondary education,Portuguese,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,0,0,No,Yes,Female,No,21,No,3,10,18,6,11.16666667,2,4,10,16,7,10.57142857,0,7.6,2.6,0.32,Enrolled
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Student,"Personal Services, Security and Safety Workers, and Sellers",1,0,No,Yes,Female,No,19,No,0,6,12,2,13,0,0,6,8,5,11.6,0,7.6,2.6,0.32,Graduate
Single,1st phase—general contingent,4,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,No,19,No,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
Single,1st phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,2nd cycle of the general high school course,Unknown,Student,Student,1,0,No,Yes,Female,Yes,20,No,0,8,8,7,14.90142857,1,0,8,8,7,14.90142857,1,9.4,-0.8,-3.12,Dropout
Single,1st phase—general contingent,3,Nursing,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,1,0,Yes,Yes,Female,Yes,18,No,0,7,8,7,12.65,0,0,8,9,8,12.44555556,0,15.5,2.8,-4.06,Graduate
Single,Change in institution/course,1,Management (evening attendance),Evening,Professional higher technical course,Portuguese,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers,0,0,No,No,Female,No,22,No,7,12,12,7,11,0,5,5,5,5,10.6,0,8.9,1.4,3.51,Dropout
Single,2nd phase—general contingent,4,Veterinary Nursing,Daytime,Secondary education,Portuguese,General commerce course,Can read without having a 4th year of schooling,Other Situation; 13—(blank),"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,No,20,No,0,5,7,4,12.4,0,0,5,9,5,12.66666667,0,7.6,2.6,0.32,Graduate
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,No,Yes,Female,No,19,No,0,6,7,6,12,0,0,6,7,6,12.66666667,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,5,Nursing,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry","Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,Yes,19,No,0,7,8,7,12.13571429,0,0,8,10,7,13.32857143,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,Yes,20,No,0,7,10,5,12.62,0,0,7,8,6,12.5,0,11.1,0.6,2.02,Enrolled
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,0,No,Yes,Female,No,25,No,0,5,11,3,10.66666667,0,0,5,11,3,11.33333333,0,15.5,2.8,-4.06,Enrolled
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,0,No,Yes,Female,Yes,19,No,0,7,12,6,13.76666667,0,0,8,10,7,14.05142857,0,15.5,2.8,-4.06,Graduate
Single,3rd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,No,19,No,0,8,8,8,13.11625,0,0,8,8,8,13.11625,0,9.4,-0.8,-3.12,Graduate
Single,1st phase—general contingent,1,Communication Design,Daytime,Secondary education,Portuguese,Higher Education—degree,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,1,0,No,No,Female,No,19,No,0,5,5,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",0,0,No,Yes,Female,No,20,No,0,7,9,6,12.7,0,0,8,8,7,13.57142857,0,13.9,-0.3,0.79,Graduate
Single,Over 23 years old,2,Oral Hygiene,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,No,25,No,0,7,11,7,11.85714286,0,0,8,21,5,11.7,0,12.4,0.5,1.79,Enrolled
Single,2nd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers,1,0,No,Yes,Female,Yes,20,No,0,7,7,6,12.33333333,0,0,7,7,6,12.33333333,0,7.6,2.6,0.32,Graduate
Single,Over 23 years old,1,Social Service,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,No,24,No,0,6,9,4,15.75,0,0,6,10,5,16.4,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,3,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",0,0,No,Yes,Female,No,20,No,0,5,6,5,13.33333333,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
Single,Transfer,1,Nursing,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,Installation and Machine Operators and Assembly Workers,1,0,No,Yes,Female,No,21,No,4,7,9,7,14.35555556,0,5,8,8,8,13.49375,0,15.5,2.8,-4.06,Graduate
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,0,0,Yes,Yes,Female,Yes,19,No,0,6,8,6,13,0,0,6,11,5,13,0,15.5,2.8,-4.06,Graduate
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers,0,0,No,Yes,Female,Yes,19,No,0,6,6,6,12.83333333,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,Graduate
Single,1st phase—general contingent,2,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,0,0,No,Yes,Female,Yes,21,No,0,5,5,5,13.2,0,0,5,5,4,13,0,9.4,-0.8,-3.12,Graduate
Single,Over 23 years old,1,Nursing,Daytime,Higher education—degree,Portuguese,Higher Education—degree,Basic education 1st cycle (4th/5th year) or equivalent,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,0,0,No,Yes,Female,No,28,No,0,7,9,7,17.00555556,0,1,8,9,8,16.58222222,0,15.5,2.8,-4.06,Graduate
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,Yes,No,Female,Yes,19,No,0,6,8,5,10.6,0,0,6,8,5,11,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,No,Yes,Female,Yes,18,No,0,5,5,5,14,0,0,5,6,5,13.6,0,12.4,0.5,1.79,Graduate
Common-law marriage,2nd phase—general contingent,5,Nursing,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,1,0,No,Yes,Female,Yes,18,No,0,8,8,7,12.11428571,0,0,8,8,7,12.11428571,0,12.7,3.7,-1.7,Graduate
Single,1st phase—general contingent,3,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,Yes,18,No,0,8,8,8,13.05875,0,0,8,8,8,13.05875,0,9.4,-0.8,-3.12,Graduate
Single,Transfer,1,Nursing,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—bachelor’s degree,Unskilled Workers,Intermediate Level Technicians and Professions,1,0,No,Yes,Female,No,22,No,4,8,8,7,13.28571429,0,4,8,8,7,13.28571429,0,12.7,3.7,-1.7,Graduate
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Protection and security services personnel,"Skilled workers in metallurgy, metalworking, and similar",1,0,No,Yes,Female,No,19,No,0,5,9,4,11,0,0,5,8,3,10.66666667,0,12.4,0.5,1.79,Enrolled
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",0,0,No,Yes,Female,Yes,18,No,0,7,7,7,14.07142857,0,0,8,8,8,15.1625,0,13.9,-0.3,0.79,Graduate
Single,2nd phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,No,No,Female,No,20,No,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
Single,Technological specialization diploma holders,1,Animation and Multimedia Design,Daytime,Technological specialization course,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,No,No,Female,No,26,No,4,9,9,4,11.25,0,3,10,12,3,11,0,12.4,0.5,1.79,Dropout
Single,1st phase—general contingent,3,Communication Design,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,Yes,18,No,0,6,6,6,14,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Administrative staff,Unskilled Workers,1,0,No,Yes,Female,Yes,21,No,0,6,8,6,12.16666667,0,0,6,11,3,11.66666667,0,10.8,1.4,1.74,Dropout
Single,2nd phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,1,0,No,Yes,Female,No,18,No,0,8,8,7,13.29714286,0,0,8,8,7,13.29714286,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,No,Yes,Female,No,20,No,0,6,14,6,13.92307692,0,0,6,9,6,14.25,0,15.5,2.8,-4.06,Graduate
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,No,Yes,Female,No,18,No,0,7,11,7,13.37,0,0,8,13,7,12.83333333,0,15.5,2.8,-4.06,Graduate
Single,2nd phase—general contingent,6,Management,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Unskilled Workers,0,0,No,Yes,Female,Yes,19,No,0,5,5,5,12.4,0,0,5,8,3,11,0,12.7,3.7,-1.7,Enrolled
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,1,0,No,Yes,Female,No,20,No,0,5,5,4,15,0,0,5,5,4,13.75,0,7.6,2.6,0.32,Dropout
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",0,0,Yes,Yes,Female,Yes,18,No,0,6,6,6,13.33333333,0,0,6,7,6,12.57142857,0,12.7,3.7,-1.7,Graduate
Single,1st phase—special contingent (Madeira Island),2,Management,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,Yes,20,No,0,5,8,3,12,0,0,5,9,4,12.625,0,10.8,1.4,1.74,Enrolled
Single,1st phase—general contingent,2,Social Service (evening attendance),Evening,Secondary education,Portuguese,General commerce course,7th Year (Old),Student,Student,1,0,No,Yes,Female,No,22,No,0,6,7,5,13.4,0,0,6,9,5,12.2,0,7.6,2.6,0.32,Graduate
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",1,0,No,Yes,Female,No,18,No,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
Single,Change in institution/course,1,Management (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",0,0,No,Yes,Female,No,21,No,1,5,9,4,11.5,0,1,5,5,5,11.4,0,8.9,1.4,3.51,Graduate
Single,3rd phase—general contingent,2,Basic Education,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Student,0,0,No,Yes,Female,No,18,No,0,7,12,6,12,0,0,7,11,6,12.16666667,0,13.9,-0.3,0.79,Enrolled
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,Administrative staff,0,0,No,Yes,Female,No,18,No,0,8,8,7,13.48571429,0,0,8,8,7,13.48571429,0,12.7,3.7,-1.7,Graduate
Single,1st phase—general contingent,1,Communication Design,Daytime,Secondary education,Portuguese,Other—11th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",0,1,No,Yes,Female,Yes,18,No,0,6,6,6,12,0,0,6,8,6,11.28571429,0,8.9,1.4,3.51,Graduate
Single,2nd phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",1,0,No,Yes,Female,No,19,No,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase—general contingent,3,Management,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers, and Sellers",1,0,No,Yes,Female,No,19,No,0,5,7,3,10.33333333,0,0,5,11,3,14.42857143,0,10.8,1.4,1.74,Enrolled
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,1,0,No,Yes,Female,No,19,No,0,7,10,5,12.94,0,0,7,7,5,13.76,0,16.2,0.3,-0.92,Enrolled
Single,1st phase—general contingent,3,Nursing,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,No,19,No,0,8,11,7,13.25857143,0,0,8,11,7,13.25857143,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—bachelor’s degree,Armed Forces Professions,Armed Forces Professions,1,0,No,Yes,Female,No,19,No,0,5,9,4,12.25,0,0,5,10,4,12,0,8.9,1.4,3.51,Enrolled
Single,2nd phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,No,Female,No,19,No,0,6,9,3,11.66666667,0,0,6,15,1,10,0,10.8,1.4,1.74,Dropout
Single,1st phase—special contingent (Madeira Island),4,Tourism,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,Yes,21,No,0,6,7,6,13.57142857,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
